키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
도미노피자,38.16,61.83,,0.04,1.94,4.81,10.69,31.47,32.45,18.57,1086800,1905900,1442000,1521400,1516300,1290400,1121700,1072300,1167300,1321200,1016200,1212800,1162900,1579400,1376900,1119900,1118200,1071100,1039400,1077700,1220400,1178100,940700,1100100,878800,1227900,1071700,1006100,979300,864600,1012600,918100,906200,1021000,839200,911800,865300,1088300,984500,799500,829300,828000,853100,798400,956500,5367700,2193000,841300
맥도날드,40.64,59.35,,0.22,8.76,11.37,13.42,31.43,25.95,8.82,865300,909800,984200,881200,962600,914700,993800,1008900,1045400,1105700,1031000,1153900,867500,1021000,1017000,935200,994100,886800,976000,977400,1154200,1036400,949300,890500,862500,977500,1075400,998300,919800,1147200,975200,1072200,1067300,992600,1011000,1108600,815300,865600,1030700,770700,901400,935500,935800,956400,1144300,999800,888700,921900
롯데리아,41.3,58.69,,0.26,10.19,11.79,12.13,25.62,27.65,12.33,522900,630600,582500,545900,597500,540200,585500,580200,674700,656200,607700,656600,561400,582200,613400,648600,869800,671400,634700,612700,692400,745600,623600,557600,507200,607400,596200,586500,616400,577200,630000,673200,682500,716000,668900,631400,541200,645200,810900,627300,652000,601000,708300,666200,700900,826100,601200,601200
맘스터치,41.01,58.98,,0.19,12.08,13.21,12.83,23.6,26.6,11.46,677900,735900,858900,725100,764600,780100,1008400,907400,799900,800200,767700,751100,807100,707800,710600,630700,699800,635900,679700,667100,659000,642600,587300,652200,670000,602100,584500,557500,600100,707800,625100,592000,634500,664900,681800,623800,537400,558300,616700,761300,738700,699300,660700,612700,669200,651700,675800,689100
버거킹,46.48,53.51,,0.12,7.24,10.35,11.86,26.83,29.8,13.76,763400,845000,923700,831500,959600,869400,878700,846600,915100,883700,782100,803200,792100,817600,836600,723900,725900,678400,739100,734400,713700,698700,654800,612300,571800,626100,605700,606300,593900,925800,601800,565800,586100,621500,610300,568100,516000,536400,562700,465400,541700,669500,636300,611400,759000,684400,579200,613600
교촌치킨,44.09,55.9,,0.07,3.69,6.52,8.97,23.6,34.48,22.63,886500,1048800,955400,899900,956400,826200,835400,823500,984200,945000,771700,795500,1150400,1073800,835700,733900,912500,771700,761400,609100,636500,595800,541900,592700,571900,663400,613700,605600,563000,536500,590200,553600,629900,626200,551400,555500,576200,635600,647800,504500,551200,537900,600900,540800,624200,621000,540700,571000
명륜진사갈비,45.29,54.7,,0.16,10.07,9.68,10.11,22.76,31.35,15.83,360500,265000,248800,194910,258200,290700,382300,343500,371200,350900,287000,334800,326400,496700,510000,552000,648100,855900,936400,750100,894500,810300,758600,769200,730500,863900,784000,787800,822900,775400,1097800,882100,731000,792000,674200,624000,567800,627700,654000,484300,547200,479600,687300,593700,598700,693100,500300,485600
마라탕,22.21,77.78,13~19세,0.73,25.55,20.12,11.44,15.95,20.01,6.18,729100,695300,808100,677600,699300,722900,752500,887100,1035800,1040700,938800,863000,712800,708800,834400,689800,638800,694000,728200,624600,631300,621900,627500,547300,495200,512400,586800,520600,628500,1062500,1252200,1754100,2079800,1473700,511700,488400,451600,446800,538000,451200,417200,401000,410300,399400,419400,426200,403200,436200
치킨,52.64,47.35,,0.25,5.77,8.18,9.93,23.64,34.54,17.65,499100,528500,523100,517300,531000,539100,564600,571700,626000,701500,497000,510200,610600,496500,496300,437100,467900,481400,517000,470500,522400,501900,456100,473500,420400,481500,474100,443300,427600,454400,509300,1133700,1321700,1013100,422000,408000,384400,383900,393900,323600,377000,371300,417100,401500,436200,407400,368700,412900
kfc,47.95,52.04,,0.16,9.17,11.66,13.56,27.01,28.23,10.19,308600,332800,348600,326100,343100,306300,318900,307100,351800,346000,319400,330700,344000,308700,323000,297100,377300,337400,328800,293500,336900,314300,325900,357800,309500,316500,344100,327800,317300,368500,332600,325800,337100,332900,345700,306000,311300,310000,378000,330100,351300,379100,352500,334600,388000,361300,392100,456200
bhc 치킨,36.5,63.49,40~49세,0.11,6.09,6.73,7.05,17.19,39.48,23.31,566400,707700,541800,511200,521900,465600,487200,462900,550400,525800,443400,491400,621400,640300,560400,468400,460400,465400,461600,401000,451000,456600,395300,433100,408100,484200,368900,324700,298400,275500,304800,282000,318100,318600,282800,405500,302000,330000,341800,270200,351400,308100,355900,313700,366500,394300,314900,328500
맥도날드 메뉴,39.14,60.85,,0.21,6.22,9.33,13.77,30.54,25.58,14.32,325000,388300,453900,426300,414900,367500,381800,402000,456600,467500,398500,370400,302300,356400,378900,336500,361500,329700,348500,342500,413000,388800,327000,311700,297000,325800,349800,354300,336200,313900,339600,345800,370600,376600,334800,318300,272700,299000,351300,279800,318800,318400,338900,346000,385100,377400,317000,322800
